id,mainCriminal
872255,False
1665803,False
857618,False
1403381,False
1399722,False
1377714,False
2296073,False
1366263,False
278340,False
2210583,False
917990,False
1524230,False
1400287,False
1778926,False
2336524,False
1509803,False
1728886,False
401018,False
402565,False
1518518,False
1047763,False
419045,False
1315449,False
388715,False
864376,False
1148398,False
1429361,False
2332611,False
1466796,False
1362806,False
1376129,False
277734,False
2333547,False
505272,False
541155,False
1797905,False
2131281,False
1462039,False
511656,False
1569745,False
549741,False
128206,False
1639186,False
1639494,False
422943,False
2287130,False
1366293,False
2333403,False
1392622,False
1424830,False
109626,False
418853,False
508653,False
559802,False
2126022,False
1668538,False
677217,False
2082699,False
519651,False
844141,False
921348,False
130593,False
2107579,False
941512,False
942418,False
116547,False
280415,False
939329,False
2107822,False
2106972,False
940089,False
277270,False
1034165,False
920020,False
934261,False
945337,False
916414,False
2106750,False
931363,False
933207,False
865867,False
382511,False
2147557,False
2421497,False
1211899,False
2182696,False
1052313,False
1233331,False
284512,False
1055291,False
2116972,False
1314700,False
435621,False
2335888,False
1783117,False
1783166,False
1782785,False
1161341,False
506684,False
2265971,False
1495143,False
1514536,False
838651,False
946767,False
937991,False
949638,False
2110199,False
2112339,False
352460,False
352109,False
1783899,False
505238,False
2311561,False
936560,False
1745360,False
1754353,False
1498111,False
428827,False
2119185,False
1677931,False
437482,False
434017,False
530989,False
1509693,False
2329818,False
2330502,False
378042,False
424564,False
2332454,False
1750066,False
427178,False
1522501,False
2307153,False
695946,False
426610,False
433254,False
2111383,False
1753777,False
421721,False
1743143,False
1396527,False
2311245,False
1122324,False
2115009,False
2126069,False
2109572,False
2112548,False
2114923,True
2112526,False
1337978,False
1304114,False
418911,False
1521459,False
1497215,False
1304166,False
1358334,False
1323533,False
1304151,False
1350857,False
431275,False
1456904,False
1374933,False
1664825,False
2234404,False
1206728,False
1209190,False
1229637,False
1310376,False
518272,False
520938,False
520939,False
1782826,False
550768,False
1611087,False
259941,False
524502,False
427676,False
440797,False
1512257,False
427908,False
432371,False
434263,False
1515472,False
427319,False
1521473,False
419083,False
458665,False
426546,False
419064,False
2361225,False
2359856,False
2331917,False
1662217,False
427664,False
421655,False
425594,False
1664273,True
1524799,False
500337,False
533328,False
146807,False
2028202,False
154822,False
1661327,False
1660875,False
1637342,False
422785,False
1825449,False
425328,False
1497434,False
2332033,False
1518604,False
1497220,False
1379402,False
421586,False
1497239,False
434377,False
424113,False
1744118,False
1661524,False
427357,False
507559,False
521002,False
1991912,False
2025812,False
460765,False
2330734,False
430410,False
2117584,False
427334,False
434357,False
1509781,False
419720,False
2112712,False
432382,False
415515,False
1870651,False
427864,False
1822344,False
424917,False
2362832,False
2361696,False
2358844,False
1514520,False
1828575,False
383700,False
1730717,False
1463521,False
2233972,False
1435198,False
1522632,False
443139,False
1746676,False
1739932,False
1666110,False
425775,False
1478550,False
2364056,False
1402949,False
1362353,False
1430085,False
1473348,False
1827602,False
1830659,False
1747205,False
1471329,False
1472448,False
1823245,False
1745339,False
1676007,False
1830756,False
1739893,False
1669984,False
1834293,False
2331346,False
1499333,False
1757488,False
2355555,False
421305,False
1497442,False
1513625,False
434331,False
1752334,False
1728853,False
1430827,False
425432,False
431795,False
1675413,False
1679490,False
1512686,False
1161759,False
1523505,False
1518909,False
1368644,False
756456,False
1670996,False
2335976,False
1671695,False
2261281,False
418314,False
1521048,False
2358860,False
1748445,False
427453,False
1497306,False
1672553,False
2331938,False
1666720,False
1381354,False
2331958,True
524520,False
533333,False
444168,False
1665499,False
1664268,False
433339,False
1737380,False
1734160,False
1661554,False
433960,False
429373,False
427938,True
2429462,True
2118145,True
442821,False
1324674,False
851224,False
546472,False
862488,False
2433053,False
1397559,False
1468558,False
1458589,True
1456587,False
1444434,False
1473259,False
1514966,False
2313042,False
1439879,False
1459853,False
1754525,False
1436575,False
2291595,False
430914,False
436211,False
1784578,False
541199,False
2209729,False
1334896,False
1302512,False
868066,False
850622,False
432947,False
2086329,False
1638588,False
1971611,False
1962209,False
1995743,False
1995226,False
1994330,False
1995337,False
1969359,False
2412223,False
1824176,False
1519793,False
1517148,False
1519813,False
2333760,False
1662707,False
436282,False
436283,False
2333826,False
1676313,False
1678847,False
1668718,False
1676292,False
2363022,False
1678859,False
1061526,False
1315501,False
439153,False
421549,False
1666731,False
2333915,False
1668924,False
2312367,False
1661467,False
382951,False
382497,False
1444296,False
1496648,False
389181,False
1210586,False
1123739,False
432791,False
1501768,False
2330226,False
1501737,False
2337401,False
2336076,False
1524061,False
2333463,False
1516915,False
1499223,False
427305,False
1520931,False
2332465,False
1518230,False
1501665,False
1521374,False
1521207,False
1496601,False
1678646,False
389479,False
419050,False
1501748,False
1662107,False
436059,False
2333893,False
1372823,False
416252,False
1290274,False
1218051,False
435663,False
436999,False
1491595,False
424111,False
425431,False
426609,False
2335915,False
424755,False
442115,False
1500589,False
2337396,False
2290963,False
1516513,False
2330784,False
1501755,False
1500435,False
2333273,False
1669611,False
421891,False
2336146,False
540839,False
2364462,False
2360497,False
1788571,False
430898,False
1670706,False
1751024,False
436489,False
444399,False
479378,False
1503287,False
424050,False
1664571,False
1517569,False
1680953,False
941025,False
1523035,False
424159,False
1669169,False
926349,False
1521869,False
421477,False
1515606,False
424131,False
2333953,False
417344,False
1678864,False
1676090,False
435496,False
427798,False
1670035,False
1492115,False
1674716,False
1674717,False
1681727,False
1674814,False
2330640,False
1493002,False
1755355,False
426763,False
2362462,False
2011665,False
1665547,False
428445,False
385583,False
385584,False
389200,False
1524520,False
2071097,False
1669094,False
2330660,False
1474852,False
1648590,False
2269052,False
424415,False
2337924,False
2332907,False
1830096,False
1516938,False
1755863,False
1750821,False
1727379,False
1755868,False
1669083,False
1517435,False
1511294,False
1519816,False
1500609,False
1519258,False
1666809,False
1734785,False
1347460,False
1387847,False
2427241,False
1524519,False
1524612,False
1524549,False
427536,False
1823840,False
1751409,False
420475,False
427769,False
525168,False
1747590,False
2330737,False
702340,False
703735,False
2030461,True
691546,True
694622,False
2029752,False
2031541,False
2362710,False
2314234,False
1515117,False
1990972,False
428488,False
1501726,False
2333764,False
1524581,False
1524947,False
1509414,False
427012,False
2333060,False
2330633,False
1524526,False
758511,False
2426995,False
2286728,False
1649987,False
1493023,False
425353,False
2332665,False
2335506,False
426642,False
432235,False
1510263,False
1519322,False
2330049,False
1429359,False
2334983,False
1524542,False
423087,False
2336948,False
1757102,False
1493718,False
463979,False
1673160,False
1517567,False
1673587,False
1524724,False
1667333,False
1426918,False
2309577,False
1516077,False
1523142,False
429269,False
1822736,False
1521125,False
1520878,False
1520425,False
2334024,False
1411734,False
1124521,False
1502366,False
2330831,False
1502355,False
1518173,False
1511729,False
2334050,False
1520436,False
1518164,False
1676068,False
435142,False
1563323,False
391020,False
1756430,False
390154,False
433740,False
441706,False
2292369,False
